spread,community_coverage,entropy,communities_with_0_seeds,k,runtime
229.992,0.007518796992481203,1.5219280948873621,396,5,31.33343195915222
344.988,0.010025062656641603,1.5709505944546687,395,10,32.07220125198364
402.486,0.012531328320802004,2.1492553971685,394,15,33.28563451766968
583.1940000000001,0.020050125313283207,2.5464393446710156,391,20,30.248303174972534
