spread,community_coverage,entropy,communities_with_0_seeds,k,lambda,runtime
525.696,0.012531328320802004,1.6954618442383218,394,20,0.0,37.14577627182007
484.626,0.03759398496240601,3.821928094887362,384,20,0.3,31.072623014450073
459.984,0.047619047619047616,4.221928094887362,380,20,0.5,27.710306882858276
451.77,0.05012531328320802,4.321928094887363,379,20,0.7,28.907498598098755
451.77,0.05012531328320802,4.321928094887363,379,20,1.0,23.868334531784058
156.066,0.012531328320802004,2.321928094887362,394,5,0.5,22.4768967628479
279.276,0.02506265664160401,3.321928094887362,389,10,0.5,27.455055952072144
443.55600000000004,0.03759398496240601,3.906890595608518,384,15,0.5,32.229912757873535
509.268,0.047619047619047616,4.221928094887362,380,20,0.5,26.164335250854492
